Acceltra Prime Barrel
Acceltra Prime Blueprint
Acceltra Prime Receiver
Akarius Prime Barrel
Akarius Prime Barrel
Akarius Prime Blueprint
Akarius Prime Link
Akarius Prime Receiver
Akarius Prime Receiver
Aklex Prime Link
Akstiletto Prime Blueprint
Akstiletto Prime Link
Fragor Prime Blueprint
Fragor Prime Head
Gauss Prime Blueprint
Gauss Prime Chassis Blueprint
Gauss Prime Neuroptics Blueprint
Gauss Prime Systems Blueprint
Glaive Prime Blueprint
Nikana Prime Blade
Nikana Prime Hilt
Saryn Prime Blueprint
Saryn Prime Chassis Blueprint
Saryn Prime Neuroptics Blueprint
Sicarus Prime Receiver
Spira Prime Blade
Valkyr Prime Chassis Blueprint
Vauban Prime Neuroptics Blueprint
Vectis Prime Stock
Venka Prime Blades
